index,text,score,correct spelling,percent,novel word spelled,novel words,bigrams
5,"en the tide rises and sharks are around,
  his voice has a timid and tremulous sound.]

'that's diff",1,18,1.0,"(2, ['en', 'diff'])","(2, ['en', 'diff'])","dict_items([(('en', 'the'), 1), (('the', 'tide'), 1), (('tide', 'rises'), 1), (('rises', 'and'), 1), (('and', 'sharks'), 1), (('sharks', 'are'), 1), (('are', 'around,'), 1), (('around,', 'his'), 1), (('his', 'voice'), 1), (('voice', 'has'), 1), (('has', 'a'), 1), (('a', 'timid'), 1), (('timid', 'and'), 1), (('and', 'tremulous'), 1), (('tremulous', 'sound.]'), 1), (('sound.]', ""'that's""), 1), ((""'that's"", 'diff'), 1)])"
1005,"erent the door,' said the mock turtle in a tone of the soute of the sout of the sabbit say in the dares of her head a little sartering, ald the mouse daded to the court,

'i don't know what i can't tee the darth have your fear aroeep form the tea-  she said to herself, 'i don't know what i can teem ",0,55,0.87,"(10, ['mock', 'turtle', 'dares', 'ald', ""'i"", 'i', 'tee', ""'i"", 'i', 'teem'])","(18, ['erent', 'mock', 'turtle', 'soute', 'sout', 'sabbit', 'dares', 'sartering,', 'ald', 'daded', ""'i"", 'i', 'tee', 'darth', 'aroeep', ""'i"", 'i', 'teem'])","dict_items([(('erent', 'the'), 1), (('the', ""door,'""), 1), ((""door,'"", 'said'), 1), (('said', 'the'), 1), (('the', 'mock'), 1), (('mock', 'turtle'), 1), (('turtle', 'in'), 1), (('in', 'a'), 1), (('a', 'tone'), 1), (('tone', 'of'), 1), (('of', 'the'), 3), (('the', 'soute'), 1), (('soute', 'of'), 1), (('the', 'sout'), 1), (('sout', 'of'), 1), (('the', 'sabbit'), 1), (('sabbit', 'say'), 1), (('say', 'in'), 1), (('in', 'the'), 1), (('the', 'dares'), 1), (('dares', 'of'), 1), (('of', 'her'), 1), (('her', 'head'), 1), (('head', 'a'), 1), (('a', 'little'), 1), (('little', 'sartering,'), 1), (('sartering,', 'ald'), 1), (('ald', 'the'), 1), (('the', 'mouse'), 1), (('mouse', 'daded'), 1), (('daded', 'to'), 1), (('to', 'the'), 1), (('the', 'court,'), 1), (('court,', ""'i""), 1), ((""'i"", ""don't""), 2), ((""don't"", 'know'), 2), (('know', 'what'), 2), (('what', 'i'), 2), (('i', ""can't""), 1), ((""can't"", 'tee'), 1), (('tee', 'the'), 1), (('the', 'darth'), 1), (('darth', 'have'), 1), (('have', 'your'), 1), (('your', 'fear'), 1), (('fear', 'aroeep'), 1), (('aroeep', 'form'), 1), (('form', 'the'), 1), (('the', 'tea-'), 1), (('tea-', 'she'), 1), (('she', 'said'), 1), (('said', 'to'), 1), (('to', 'herself,'), 1), (('herself,', ""'i""), 1), (('i', 'can'), 1), (('can', 'teem'), 1)])"
6,"ssed in a physical medium
     and discontinue all use of and all access to other copies of
     pro",1,18,1.0,"(2, ['ssed', 'pro'])","(2, ['ssed', 'pro'])","dict_items([(('ssed', 'in'), 1), (('in', 'a'), 1), (('a', 'physical'), 1), (('physical', 'medium'), 1), (('medium', 'and'), 1), (('and', 'discontinue'), 1), (('discontinue', 'all'), 1), (('all', 'use'), 1), (('use', 'of'), 1), (('of', 'and'), 1), (('and', 'all'), 1), (('all', 'access'), 1), (('access', 'to'), 1), (('to', 'other'), 1), (('other', 'copies'), 1), (('copies', 'of'), 1), (('of', 'pro'), 1)])"
1006,"ject gutenberg-tm license for any particular project gutenberg literary archive foundation ar she foundation, and wour with the project gutenberg literary archive foundation are nonked and ansapient to project gutenberg-tm works, 
1.e.9.  in the project gutenberg literary archive foundation are nonk",0,30,0.73,"(15, ['project', 'literary', 'archive', 'foundation', 'ar', 'foundation,', 'project', 'literary', 'archive', 'foundation', 'project', 'project', 'literary', 'archive', 'foundation'])","(26, ['ject', 'gutenberg-tm', 'project', 'gutenberg', 'literary', 'archive', 'foundation', 'ar', 'foundation,', 'wour', 'project', 'gutenberg', 'literary', 'archive', 'foundation', 'nonked', 'ansapient', 'project', 'gutenberg-tm', '1.e.9.', 'project', 'gutenberg', 'literary', 'archive', 'foundation', 'nonk'])","dict_items([(('ject', 'gutenberg-tm'), 1), (('gutenberg-tm', 'license'), 1), (('license', 'for'), 1), (('for', 'any'), 1), (('any', 'particular'), 1), (('particular', 'project'), 1), (('project', 'gutenberg'), 3), (('gutenberg', 'literary'), 3), (('literary', 'archive'), 3), (('archive', 'foundation'), 3), (('foundation', 'ar'), 1), (('ar', 'she'), 1), (('she', 'foundation,'), 1), (('foundation,', 'and'), 1), (('and', 'wour'), 1), (('wour', 'with'), 1), (('with', 'the'), 1), (('the', 'project'), 2), (('foundation', 'are'), 2), (('are', 'nonked'), 1), (('nonked', 'and'), 1), (('and', 'ansapient'), 1), (('ansapient', 'to'), 1), (('to', 'project'), 1), (('project', 'gutenberg-tm'), 1), (('gutenberg-tm', 'works,'), 1), (('works,', '1.e.9.'), 1), (('1.e.9.', 'in'), 1), (('in', 'the'), 1), (('are', 'nonk'), 1)])"
7,"gs for you now, dears? i'm sure
_i_ shan't be able! i shall be a great deal too far off to trouble
m",1,23,1.0,"(4, ['gs', ""i'm"", '_i_', 'i'])","(4, ['gs', ""i'm"", '_i_', 'i'])","dict_items([(('gs', 'for'), 1), (('for', 'you'), 1), (('you', 'now,'), 1), (('now,', 'dears?'), 1), (('dears?', ""i'm""), 1), ((""i'm"", 'sure'), 1), (('sure', '_i_'), 1), (('_i_', ""shan't""), 1), ((""shan't"", 'be'), 1), (('be', 'able!'), 1), (('able!', 'i'), 1), (('i', 'shall'), 1), (('shall', 'be'), 1), (('be', 'a'), 1), (('a', 'great'), 1), (('great', 'deal'), 1), (('deal', 'too'), 1), (('too', 'far'), 1), (('far', 'off'), 1), (('off', 'to'), 1), (('to', 'trouble'), 1), (('trouble', 'm'), 1)])"
1007,"n the doors! and the murt oay it would be a great had grown of the sabbit say in the door, and the pueen say down the had frown of the sabbit say in the door, and the white rabbit blowered to she had got to see if he had to see if he was the poor little thing was seered and alice sound her ar she co",0,61,0.9,"(5, ['n', 'frown', 'alice', 'ar', 'co'])","(12, ['n', 'murt', 'oay', 'sabbit', 'pueen', 'frown', 'sabbit', 'blowered', 'seered', 'alice', 'ar', 'co'])","dict_items([(('n', 'the'), 1), (('the', 'doors!'), 1), (('doors!', 'and'), 1), (('and', 'the'), 3), (('the', 'murt'), 1), (('murt', 'oay'), 1), (('oay', 'it'), 1), (('it', 'would'), 1), (('would', 'be'), 1), (('be', 'a'), 1), (('a', 'great'), 1), (('great', 'had'), 1), (('had', 'grown'), 1), (('grown', 'of'), 1), (('of', 'the'), 2), (('the', 'sabbit'), 2), (('sabbit', 'say'), 2), (('say', 'in'), 2), (('in', 'the'), 2), (('the', 'door,'), 2), (('door,', 'and'), 2), (('the', 'pueen'), 1), (('pueen', 'say'), 1), (('say', 'down'), 1), (('down', 'the'), 1), (('the', 'had'), 1), (('had', 'frown'), 1), (('frown', 'of'), 1), (('the', 'white'), 1), (('white', 'rabbit'), 1), (('rabbit', 'blowered'), 1), (('blowered', 'to'), 1), (('to', 'she'), 1), (('she', 'had'), 1), (('had', 'got'), 1), (('got', 'to'), 1), (('to', 'see'), 2), (('see', 'if'), 2), (('if', 'he'), 2), (('he', 'had'), 1), (('had', 'to'), 1), (('he', 'was'), 1), (('was', 'the'), 1), (('the', 'poor'), 1), (('poor', 'little'), 1), (('little', 'thing'), 1), (('thing', 'was'), 1), (('was', 'seered'), 1), (('seered', 'and'), 1), (('and', 'alice'), 1), (('alice', 'sound'), 1), (('sound', 'her'), 1), (('her', 'ar'), 1), (('ar', 'she'), 1), (('she', 'co'), 1)])"
8,"nd or australia?' (and
she tried to curtsey as she spoke--fancy curtseying as you're falling
through",1,15,0.94,"(3, ['nd', ""australia?'"", 'curtseying'])","(3, ['nd', ""australia?'"", 'curtseying'])","dict_items([(('nd', 'or'), 1), (('or', ""australia?'""), 1), ((""australia?'"", '(and'), 1), (('(and', 'she'), 1), (('she', 'tried'), 1), (('tried', 'to'), 1), (('to', 'curtsey'), 1), (('curtsey', 'as'), 1), (('as', 'she'), 1), (('she', 'spoke--fancy'), 1), (('spoke--fancy', 'curtseying'), 1), (('curtseying', 'as'), 1), (('as', ""you're""), 1), ((""you're"", 'falling'), 1), (('falling', 'through'), 1)])"
1008," the door, and the mort of the sable with the words was she was going to the thing soue of the sabbit say in the door, and the white rabbit blowered to she had got to see if he had to see if he was the poor little thing was seered and alice sound her ar she court, 
'i don't know what i have to be a ",0,63,0.94,"(6, ['mort', 'sable', 'alice', 'ar', ""'i"", 'i'])","(10, ['mort', 'sable', 'soue', 'sabbit', 'blowered', 'seered', 'alice', 'ar', ""'i"", 'i'])","dict_items([(('the', 'door,'), 2), (('door,', 'and'), 2), (('and', 'the'), 2), (('the', 'mort'), 1), (('mort', 'of'), 1), (('of', 'the'), 2), (('the', 'sable'), 1), (('sable', 'with'), 1), (('with', 'the'), 1), (('the', 'words'), 1), (('words', 'was'), 1), (('was', 'she'), 1), (('she', 'was'), 1), (('was', 'going'), 1), (('going', 'to'), 1), (('to', 'the'), 1), (('the', 'thing'), 1), (('thing', 'soue'), 1), (('soue', 'of'), 1), (('the', 'sabbit'), 1), (('sabbit', 'say'), 1), (('say', 'in'), 1), (('in', 'the'), 1), (('the', 'white'), 1), (('white', 'rabbit'), 1), (('rabbit', 'blowered'), 1), (('blowered', 'to'), 1), (('to', 'she'), 1), (('she', 'had'), 1), (('had', 'got'), 1), (('got', 'to'), 1), (('to', 'see'), 2), (('see', 'if'), 2), (('if', 'he'), 2), (('he', 'had'), 1), (('had', 'to'), 1), (('he', 'was'), 1), (('was', 'the'), 1), (('the', 'poor'), 1), (('poor', 'little'), 1), (('little', 'thing'), 1), (('thing', 'was'), 1), (('was', 'seered'), 1), (('seered', 'and'), 1), (('and', 'alice'), 1), (('alice', 'sound'), 1), (('sound', 'her'), 1), (('her', 'ar'), 1), (('ar', 'she'), 1), (('she', 'court,'), 1), (('court,', ""'i""), 1), ((""'i"", ""don't""), 1), ((""don't"", 'know'), 1), (('know', 'what'), 1), (('what', 'i'), 1), (('i', 'have'), 1), (('have', 'to'), 1), (('to', 'be'), 1), (('be', 'a'), 1)])"
9,"at the
corners: next the ten courtiers; these were ornamented all over with
diamonds, and walked two",1,17,1.0,"(0, [])","(0, [])","dict_items([(('at', 'the'), 1), (('the', 'corners:'), 1), (('corners:', 'next'), 1), (('next', 'the'), 1), (('the', 'ten'), 1), (('ten', 'courtiers;'), 1), (('courtiers;', 'these'), 1), (('these', 'were'), 1), (('were', 'ornamented'), 1), (('ornamented', 'all'), 1), (('all', 'over'), 1), (('over', 'with'), 1), (('with', 'diamonds,'), 1), (('diamonds,', 'and'), 1), (('and', 'walked'), 1), (('walked', 'two'), 1)])"
1009," the table to the was so spoe she was so spok the words ouer the white rabbit, when she was soeeking to the thing soue of the sabbit say in the door, and the white rabbit blowered to say the table to the was sootling to see if he was seel a louse the thing sabbit as she was see as the corrou of the ",0,55,0.85,"(2, ['seel', 'louse'])","(12, ['spoe', 'spok', 'ouer', 'soeeking', 'soue', 'sabbit', 'blowered', 'sootling', 'seel', 'louse', 'sabbit', 'corrou'])","dict_items([(('the', 'table'), 2), (('table', 'to'), 2), (('to', 'the'), 3), (('the', 'was'), 2), (('was', 'so'), 2), (('so', 'spoe'), 1), (('spoe', 'she'), 1), (('she', 'was'), 3), (('so', 'spok'), 1), (('spok', 'the'), 1), (('the', 'words'), 1), (('words', 'ouer'), 1), (('ouer', 'the'), 1), (('the', 'white'), 2), (('white', 'rabbit,'), 1), (('rabbit,', 'when'), 1), (('when', 'she'), 1), (('was', 'soeeking'), 1), (('soeeking', 'to'), 1), (('the', 'thing'), 2), (('thing', 'soue'), 1), (('soue', 'of'), 1), (('of', 'the'), 2), (('the', 'sabbit'), 1), (('sabbit', 'say'), 1), (('say', 'in'), 1), (('in', 'the'), 1), (('the', 'door,'), 1), (('door,', 'and'), 1), (('and', 'the'), 1), (('white', 'rabbit'), 1), (('rabbit', 'blowered'), 1), (('blowered', 'to'), 1), (('to', 'say'), 1), (('say', 'the'), 1), (('was', 'sootling'), 1), (('sootling', 'to'), 1), (('to', 'see'), 1), (('see', 'if'), 1), (('if', 'he'), 1), (('he', 'was'), 1), (('was', 'seel'), 1), (('seel', 'a'), 1), (('a', 'louse'), 1), (('louse', 'the'), 1), (('thing', 'sabbit'), 1), (('sabbit', 'as'), 1), (('as', 'she'), 1), (('was', 'see'), 1), (('see', 'as'), 1), (('as', 'the'), 1), (('the', 'corrou'), 1), (('corrou', 'of'), 1)])"
10,"egan a series of short charges at the stick, running a very
little way forwards each time and a long",1,19,0.95,"(0, [])","(1, ['egan'])","dict_items([(('egan', 'a'), 1), (('a', 'series'), 1), (('series', 'of'), 1), (('of', 'short'), 1), (('short', 'charges'), 1), (('charges', 'at'), 1), (('at', 'the'), 1), (('the', 'stick,'), 1), (('stick,', 'running'), 1), (('running', 'a'), 1), (('a', 'very'), 1), (('very', 'little'), 1), (('little', 'way'), 1), (('way', 'forwards'), 1), (('forwards', 'each'), 1), (('each', 'time'), 1), (('time', 'and'), 1), (('and', 'a'), 1), (('a', 'long'), 1)])"
