index,text,score,correct spelling,percent,novel word spelled,novel words,bigrams
5,"without
permission and without paying copyright royalties.  special rules,
set forth in the general ",1,14,1.0,"(1, ['special'])","(1, ['special'])","dict_items([(('without', 'permission'), 1), (('permission', 'and'), 1), (('and', 'without'), 1), (('without', 'paying'), 1), (('paying', 'copyright'), 1), (('copyright', 'royalties.'), 1), (('royalties.', 'special'), 1), (('special', 'rules,'), 1), (('rules,', 'set'), 1), (('set', 'forth'), 1), (('forth', 'in'), 1), (('in', 'the'), 1), (('the', 'general'), 1)])"
1005,"of the project gutenberg literary archive foundation ar she foundation, and wour with the project gu",0,14,0.88,"(8, ['project', 'literary', 'archive', 'foundation', 'ar', 'foundation,', 'project', 'gu'])","(10, ['project', 'gutenberg', 'literary', 'archive', 'foundation', 'ar', 'foundation,', 'wour', 'project', 'gu'])","dict_items([(('of', 'the'), 1), (('the', 'project'), 2), (('project', 'gutenberg'), 1), (('gutenberg', 'literary'), 1), (('literary', 'archive'), 1), (('archive', 'foundation'), 1), (('foundation', 'ar'), 1), (('ar', 'she'), 1), (('she', 'foundation,'), 1), (('foundation,', 'and'), 1), (('and', 'wour'), 1), (('wour', 'with'), 1), (('with', 'the'), 1), (('project', 'gu'), 1)])"
6,"rking hoarsely
all the while, till at last it sat down a good way off, panting, with
its tongue hang",1,19,0.95,"(1, ['hang'])","(2, ['rking', 'hang'])","dict_items([(('rking', 'hoarsely'), 1), (('hoarsely', 'all'), 1), (('all', 'the'), 1), (('the', 'while,'), 1), (('while,', 'till'), 1), (('till', 'at'), 1), (('at', 'last'), 1), (('last', 'it'), 1), (('it', 'sat'), 1), (('sat', 'down'), 1), (('down', 'a'), 1), (('a', 'good'), 1), (('good', 'way'), 1), (('way', 'off,'), 1), (('off,', 'panting,'), 1), (('panting,', 'with'), 1), (('with', 'its'), 1), (('its', 'tongue'), 1), (('tongue', 'hang'), 1)])"
1006,"en into the dourt, 
'i don't know what i can't ree whth an any ratt!' said the mouse, 'and the mort ",0,18,0.86,"(5, ['en', ""'i"", 'i', 'ree', 'mort'])","(8, ['en', 'dourt,', ""'i"", 'i', 'ree', 'whth', ""ratt!'"", 'mort'])","dict_items([(('en', 'into'), 1), (('into', 'the'), 1), (('the', 'dourt,'), 1), (('dourt,', ""'i""), 1), ((""'i"", ""don't""), 1), ((""don't"", 'know'), 1), (('know', 'what'), 1), (('what', 'i'), 1), (('i', ""can't""), 1), ((""can't"", 'ree'), 1), (('ree', 'whth'), 1), (('whth', 'an'), 1), (('an', 'any'), 1), (('any', ""ratt!'""), 1), ((""ratt!'"", 'said'), 1), (('said', 'the'), 1), (('the', 'mouse,'), 1), (('mouse,', ""'and""), 1), ((""'and"", 'the'), 1), (('the', 'mort'), 1)])"
7,"gistered trademark, and may not be used if you
charge for the ebooks, unless you receive specific pe",1,16,0.89,"(1, ['pe'])","(3, ['gistered', 'ebooks,', 'pe'])","dict_items([(('gistered', 'trademark,'), 1), (('trademark,', 'and'), 1), (('and', 'may'), 1), (('may', 'not'), 1), (('not', 'be'), 1), (('be', 'used'), 1), (('used', 'if'), 1), (('if', 'you'), 1), (('you', 'charge'), 1), (('charge', 'for'), 1), (('for', 'the'), 1), (('the', 'ebooks,'), 1), (('ebooks,', 'unless'), 1), (('unless', 'you'), 1), (('you', 'receive'), 1), (('receive', 'specific'), 1), (('specific', 'pe'), 1)])"
1007,rmission of the project gutenberg literary archive foundation are all fopyright in the project guten,0,11,0.73,"(5, ['project', 'literary', 'archive', 'foundation', 'project'])","(9, ['rmission', 'project', 'gutenberg', 'literary', 'archive', 'foundation', 'fopyright', 'project', 'guten'])","dict_items([(('rmission', 'of'), 1), (('of', 'the'), 1), (('the', 'project'), 2), (('project', 'gutenberg'), 1), (('gutenberg', 'literary'), 1), (('literary', 'archive'), 1), (('archive', 'foundation'), 1), (('foundation', 'are'), 1), (('are', 'all'), 1), (('all', 'fopyright'), 1), (('fopyright', 'in'), 1), (('in', 'the'), 1), (('project', 'guten'), 1)])"
8,"ppeared, and then alice put
down her flamingo, and began an account of the game, feeling very glad
s",1,18,0.95,"(2, ['alice', 's'])","(3, ['ppeared,', 'alice', 's'])","dict_items([(('ppeared,', 'and'), 1), (('and', 'then'), 1), (('then', 'alice'), 1), (('alice', 'put'), 1), (('put', 'down'), 1), (('down', 'her'), 1), (('her', 'flamingo,'), 1), (('flamingo,', 'and'), 1), (('and', 'began'), 1), (('began', 'an'), 1), (('an', 'account'), 1), (('account', 'of'), 1), (('of', 'the'), 1), (('the', 'game,'), 1), (('game,', 'feeling'), 1), (('feeling', 'very'), 1), (('very', 'glad'), 1), (('glad', 's'), 1)])"
1008,"he had gooe the tout of the sabbit say in the door, and the pueen say down and said, 'it was the moc",0,20,0.87,"(2, ['tout', 'moc'])","(5, ['gooe', 'tout', 'sabbit', 'pueen', 'moc'])","dict_items([(('he', 'had'), 1), (('had', 'gooe'), 1), (('gooe', 'the'), 1), (('the', 'tout'), 1), (('tout', 'of'), 1), (('of', 'the'), 1), (('the', 'sabbit'), 1), (('sabbit', 'say'), 1), (('say', 'in'), 1), (('in', 'the'), 1), (('the', 'door,'), 1), (('door,', 'and'), 1), (('and', 'the'), 1), (('the', 'pueen'), 1), (('pueen', 'say'), 1), (('say', 'down'), 1), (('down', 'and'), 1), (('and', 'said,'), 1), (('said,', ""'it""), 1), ((""'it"", 'was'), 1), (('was', 'the'), 1), (('the', 'moc'), 1)])"
9,"e punished for it now, i suppose, by
being drowned in my own tears! that will be a queer thing, to b",1,22,1.0,"(2, ['e', 'i'])","(2, ['e', 'i'])","dict_items([(('e', 'punished'), 1), (('punished', 'for'), 1), (('for', 'it'), 1), (('it', 'now,'), 1), (('now,', 'i'), 1), (('i', 'suppose,'), 1), (('suppose,', 'by'), 1), (('by', 'being'), 1), (('being', 'drowned'), 1), (('drowned', 'in'), 1), (('in', 'my'), 1), (('my', 'own'), 1), (('own', 'tears!'), 1), (('tears!', 'that'), 1), (('that', 'will'), 1), (('will', 'be'), 1), (('be', 'a'), 1), (('a', 'queer'), 1), (('queer', 'thing,'), 1), (('thing,', 'to'), 1), (('to', 'b'), 1)])"
1009,"e a louse if it gad been to the door, 
'i don't know what i can tele you loow the door,' said the mo",0,23,0.96,"(7, ['e', 'louse', 'gad', ""'i"", 'i', 'tele', 'mo'])","(8, ['e', 'louse', 'gad', ""'i"", 'i', 'tele', 'loow', 'mo'])","dict_items([(('e', 'a'), 1), (('a', 'louse'), 1), (('louse', 'if'), 1), (('if', 'it'), 1), (('it', 'gad'), 1), (('gad', 'been'), 1), (('been', 'to'), 1), (('to', 'the'), 1), (('the', 'door,'), 1), (('door,', ""'i""), 1), ((""'i"", ""don't""), 1), ((""don't"", 'know'), 1), (('know', 'what'), 1), (('what', 'i'), 1), (('i', 'can'), 1), (('can', 'tele'), 1), (('tele', 'you'), 1), (('you', 'loow'), 1), (('loow', 'the'), 1), (('the', ""door,'""), 1), ((""door,'"", 'said'), 1), (('said', 'the'), 1), (('the', 'mo'), 1)])"
10,"so. 'it's really
dreadful,' she muttered to herself, 'the way all the creatures argue.
it's enough t",1,17,1.0,"(1, ['t'])","(1, ['t'])","dict_items([(('so.', ""'it's""), 1), ((""'it's"", 'really'), 1), (('really', ""dreadful,'""), 1), ((""dreadful,'"", 'she'), 1), (('she', 'muttered'), 1), (('muttered', 'to'), 1), (('to', 'herself,'), 1), (('herself,', ""'the""), 1), ((""'the"", 'way'), 1), (('way', 'all'), 1), (('all', 'the'), 1), (('the', 'creatures'), 1), (('creatures', 'argue.'), 1), (('argue.', ""it's""), 1), ((""it's"", 'enough'), 1), (('enough', 't'), 1)])"
1010,"he mort of the same thing is to tee the door, and the white rabbit blowered about the was sole minut",0,19,0.9,"(3, ['mort', 'tee', 'sole'])","(5, ['mort', 'tee', 'blowered', 'sole', 'minut'])","dict_items([(('he', 'mort'), 1), (('mort', 'of'), 1), (('of', 'the'), 1), (('the', 'same'), 1), (('same', 'thing'), 1), (('thing', 'is'), 1), (('is', 'to'), 1), (('to', 'tee'), 1), (('tee', 'the'), 1), (('the', 'door,'), 1), (('door,', 'and'), 1), (('and', 'the'), 1), (('the', 'white'), 1), (('white', 'rabbit'), 1), (('rabbit', 'blowered'), 1), (('blowered', 'about'), 1), (('about', 'the'), 1), (('the', 'was'), 1), (('was', 'sole'), 1), (('sole', 'minut'), 1)])"
11,"

'would you like to see a little of it?' said the mock turtle.

'very much indeed,' said alice.

'c",1,19,1.0,"(3, ['mock', 'turtle.', 'alice.'])","(3, ['mock', 'turtle.', 'alice.'])","dict_items([((""'would"", 'you'), 1), (('you', 'like'), 1), (('like', 'to'), 1), (('to', 'see'), 1), (('see', 'a'), 1), (('a', 'little'), 1), (('little', 'of'), 1), (('of', ""it?'""), 1), ((""it?'"", 'said'), 1), (('said', 'the'), 1), (('the', 'mock'), 1), (('mock', 'turtle.'), 1), (('turtle.', ""'very""), 1), ((""'very"", 'much'), 1), (('much', ""indeed,'""), 1), ((""indeed,'"", 'said'), 1), (('said', 'alice.'), 1), (('alice.', ""'c""), 1)])"
1011,"ome on!' said the daterpillar.

'i don't know what i have to be a little birler,' she said to hersel",0,17,0.85,"(3, [""'i"", 'i', ""birler,'""])","(6, ['ome', 'daterpillar.', ""'i"", 'i', ""birler,'"", 'hersel'])","dict_items([(('ome', ""on!'""), 1), ((""on!'"", 'said'), 1), (('said', 'the'), 1), (('the', 'daterpillar.'), 1), (('daterpillar.', ""'i""), 1), ((""'i"", ""don't""), 1), ((""don't"", 'know'), 1), (('know', 'what'), 1), (('what', 'i'), 1), (('i', 'have'), 1), (('have', 'to'), 1), (('to', 'be'), 1), (('be', 'a'), 1), (('a', 'little'), 1), (('little', ""birler,'""), 1), ((""birler,'"", 'she'), 1), (('she', 'said'), 1), (('said', 'to'), 1), (('to', 'hersel'), 1)])"
12,"at the hatter, and,
just as the dormouse crossed the court, she said to one of the officers
of the c",1,21,1.0,"(1, ['dormouse'])","(1, ['dormouse'])","dict_items([(('at', 'the'), 1), (('the', 'hatter,'), 1), (('hatter,', 'and,'), 1), (('and,', 'just'), 1), (('just', 'as'), 1), (('as', 'the'), 1), (('the', 'dormouse'), 1), (('dormouse', 'crossed'), 1), (('crossed', 'the'), 1), (('the', 'court,'), 1), (('court,', 'she'), 1), (('she', 'said'), 1), (('said', 'to'), 1), (('to', 'one'), 1), (('one', 'of'), 1), (('of', 'the'), 2), (('the', 'officers'), 1), (('officers', 'of'), 1), (('the', 'c'), 1)])"
1012,"ourt, 
'i don't know what i can't ree whth an any ratt!' said the mouse, 'and the mort of the sable ",0,18,0.86,"(5, [""'i"", 'i', 'ree', 'mort', 'sable'])","(8, ['ourt,', ""'i"", 'i', 'ree', 'whth', ""ratt!'"", 'mort', 'sable'])","dict_items([(('ourt,', ""'i""), 1), ((""'i"", ""don't""), 1), ((""don't"", 'know'), 1), (('know', 'what'), 1), (('what', 'i'), 1), (('i', ""can't""), 1), ((""can't"", 'ree'), 1), (('ree', 'whth'), 1), (('whth', 'an'), 1), (('an', 'any'), 1), (('any', ""ratt!'""), 1), ((""ratt!'"", 'said'), 1), (('said', 'the'), 1), (('the', 'mouse,'), 1), (('mouse,', ""'and""), 1), ((""'and"", 'the'), 1), (('the', 'mort'), 1), (('mort', 'of'), 1), (('of', 'the'), 1), (('the', 'sable'), 1)])"
13,"are, nobody attends to them--and you've no idea how
confusing it is all the things being alive; for ",1,17,0.94,"(0, [])","(0, [])","dict_items([(('are,', 'nobody'), 1), (('nobody', 'attends'), 1), (('attends', 'to'), 1), (('to', 'them--and'), 1), (('them--and', ""you've""), 1), ((""you've"", 'no'), 1), (('no', 'idea'), 1), (('idea', 'how'), 1), (('how', 'confusing'), 1), (('confusing', 'it'), 1), (('it', 'is'), 1), (('is', 'all'), 1), (('all', 'the'), 1), (('the', 'things'), 1), (('things', 'being'), 1), (('being', 'alive;'), 1), (('alive;', 'for'), 1)])"
1013,"the doomouse say in the doorsat' and was seeling at the door, and the white rabbit blowered to she h",0,17,0.85,"(2, ['seeling', 'h'])","(5, ['doomouse', ""doorsat'"", 'seeling', 'blowered', 'h'])","dict_items([(('the', 'doomouse'), 1), (('doomouse', 'say'), 1), (('say', 'in'), 1), (('in', 'the'), 1), (('the', ""doorsat'""), 1), ((""doorsat'"", 'and'), 1), (('and', 'was'), 1), (('was', 'seeling'), 1), (('seeling', 'at'), 1), (('at', 'the'), 1), (('the', 'door,'), 1), (('door,', 'and'), 1), (('and', 'the'), 1), (('the', 'white'), 1), (('white', 'rabbit'), 1), (('rabbit', 'blowered'), 1), (('blowered', 'to'), 1), (('to', 'she'), 1), (('she', 'h'), 1)])"
14," was quite pleased to find that she knew
the name of nearly everything there. 'that's the judge,' sh",1,18,1.0,"(0, [])","(0, [])","dict_items([(('was', 'quite'), 1), (('quite', 'pleased'), 1), (('pleased', 'to'), 1), (('to', 'find'), 1), (('find', 'that'), 1), (('that', 'she'), 1), (('she', 'knew'), 1), (('knew', 'the'), 1), (('the', 'name'), 1), (('name', 'of'), 1), (('of', 'nearly'), 1), (('nearly', 'everything'), 1), (('everything', 'there.'), 1), (('there.', ""'that's""), 1), ((""'that's"", 'the'), 1), (('the', ""judge,'""), 1), ((""judge,'"", 'sh'), 1)])"
1014,"e said to herself, 'i don't know what i can the most of the say of the dooroa dorn the mort of the s",0,23,0.96,"(6, ['e', ""'i"", 'i', 'dorn', 'mort', 's'])","(7, ['e', ""'i"", 'i', 'dooroa', 'dorn', 'mort', 's'])","dict_items([(('e', 'said'), 1), (('said', 'to'), 1), (('to', 'herself,'), 1), (('herself,', ""'i""), 1), ((""'i"", ""don't""), 1), ((""don't"", 'know'), 1), (('know', 'what'), 1), (('what', 'i'), 1), (('i', 'can'), 1), (('can', 'the'), 1), (('the', 'most'), 1), (('most', 'of'), 1), (('of', 'the'), 3), (('the', 'say'), 1), (('say', 'of'), 1), (('the', 'dooroa'), 1), (('dooroa', 'dorn'), 1), (('dorn', 'the'), 1), (('the', 'mort'), 1), (('mort', 'of'), 1), (('the', 's'), 1)])"
15," said
was, 'why is a raven like a writing-desk?'

'come, we shall have some fun now!' thought alice.",1,17,0.94,"(1, ['alice.'])","(1, ['alice.'])","dict_items([(('said', 'was,'), 1), (('was,', ""'why""), 1), ((""'why"", 'is'), 1), (('is', 'a'), 1), (('a', 'raven'), 1), (('raven', 'like'), 1), (('like', 'a'), 1), (('a', ""writing-desk?'""), 1), ((""writing-desk?'"", ""'come,""), 1), ((""'come,"", 'we'), 1), (('we', 'shall'), 1), (('shall', 'have'), 1), (('have', 'some'), 1), (('some', 'fun'), 1), (('fun', ""now!'""), 1), ((""now!'"", 'thought'), 1), (('thought', 'alice.'), 1)])"
1015," 'i don't know the dorrou to the white rabbit, when she was see as she was seed to the thing soue of",0,20,0.91,"(2, [""'i"", 'seed'])","(4, [""'i"", 'dorrou', 'seed', 'soue'])","dict_items([((""'i"", ""don't""), 1), ((""don't"", 'know'), 1), (('know', 'the'), 1), (('the', 'dorrou'), 1), (('dorrou', 'to'), 1), (('to', 'the'), 2), (('the', 'white'), 1), (('white', 'rabbit,'), 1), (('rabbit,', 'when'), 1), (('when', 'she'), 1), (('she', 'was'), 2), (('was', 'see'), 1), (('see', 'as'), 1), (('as', 'she'), 1), (('was', 'seed'), 1), (('seed', 'to'), 1), (('the', 'thing'), 1), (('thing', 'soue'), 1), (('soue', 'of'), 1)])"
16,"as politely as she could.

'the dormouse is asleep again,' said the hatter, and he poured a little
h",1,19,1.0,"(2, ['dormouse', 'h'])","(2, ['dormouse', 'h'])","dict_items([(('as', 'politely'), 1), (('politely', 'as'), 1), (('as', 'she'), 1), (('she', 'could.'), 1), (('could.', ""'the""), 1), ((""'the"", 'dormouse'), 1), (('dormouse', 'is'), 1), (('is', 'asleep'), 1), (('asleep', ""again,'""), 1), ((""again,'"", 'said'), 1), (('said', 'the'), 1), (('the', 'hatter,'), 1), (('hatter,', 'and'), 1), (('and', 'he'), 1), (('he', 'poured'), 1), (('poured', 'a'), 1), (('a', 'little'), 1), (('little', 'h'), 1)])"
1016,"arden, and the pueen say down the had frown of the sabbit say in the door, and the white rabbit blow",0,18,0.86,"(1, ['frown'])","(4, ['arden,', 'pueen', 'frown', 'sabbit'])","dict_items([(('arden,', 'and'), 1), (('and', 'the'), 2), (('the', 'pueen'), 1), (('pueen', 'say'), 1), (('say', 'down'), 1), (('down', 'the'), 1), (('the', 'had'), 1), (('had', 'frown'), 1), (('frown', 'of'), 1), (('of', 'the'), 1), (('the', 'sabbit'), 1), (('sabbit', 'say'), 1), (('say', 'in'), 1), (('in', 'the'), 1), (('the', 'door,'), 1), (('door,', 'and'), 1), (('the', 'white'), 1), (('white', 'rabbit'), 1), (('rabbit', 'blow'), 1)])"
17,"up, i'll write one--but i'm grown up now,' she added in a sorrowful
tone; 'at least there's no room ",1,18,0.95,"(1, [""i'm""])","(1, [""i'm""])","dict_items([(('up,', ""i'll""), 1), ((""i'll"", 'write'), 1), (('write', 'one--but'), 1), (('one--but', ""i'm""), 1), ((""i'm"", 'grown'), 1), (('grown', 'up'), 1), (('up', ""now,'""), 1), ((""now,'"", 'she'), 1), (('she', 'added'), 1), (('added', 'in'), 1), (('in', 'a'), 1), (('a', 'sorrowful'), 1), (('sorrowful', 'tone;'), 1), (('tone;', ""'at""), 1), ((""'at"", 'least'), 1), (('least', ""there's""), 1), ((""there's"", 'no'), 1), (('no', 'room'), 1)])"
1017,"as it was the dooroa dotn the door, and the mort of the say of the mock turtle sat off, and she was ",0,21,0.91,"(3, ['mort', 'mock', 'turtle'])","(5, ['dooroa', 'dotn', 'mort', 'mock', 'turtle'])","dict_items([(('as', 'it'), 1), (('it', 'was'), 1), (('was', 'the'), 1), (('the', 'dooroa'), 1), (('dooroa', 'dotn'), 1), (('dotn', 'the'), 1), (('the', 'door,'), 1), (('door,', 'and'), 1), (('and', 'the'), 1), (('the', 'mort'), 1), (('mort', 'of'), 1), (('of', 'the'), 2), (('the', 'say'), 1), (('say', 'of'), 1), (('the', 'mock'), 1), (('mock', 'turtle'), 1), (('turtle', 'sat'), 1), (('sat', 'off,'), 1), (('off,', 'and'), 1), (('and', 'she'), 1), (('she', 'was'), 1)])"
18,"ce, 'or perhaps they won't walk the way i want
to go! let me see: i'll give them a new pair of boots",1,23,1.0,"(2, ['ce,', 'i'])","(2, ['ce,', 'i'])","dict_items([(('ce,', ""'or""), 1), ((""'or"", 'perhaps'), 1), (('perhaps', 'they'), 1), (('they', ""won't""), 1), ((""won't"", 'walk'), 1), (('walk', 'the'), 1), (('the', 'way'), 1), (('way', 'i'), 1), (('i', 'want'), 1), (('want', 'to'), 1), (('to', 'go!'), 1), (('go!', 'let'), 1), (('let', 'me'), 1), (('me', 'see:'), 1), (('see:', ""i'll""), 1), ((""i'll"", 'give'), 1), (('give', 'them'), 1), (('them', 'a'), 1), (('a', 'new'), 1), (('new', 'pair'), 1), (('pair', 'of'), 1), (('of', 'boots'), 1)])"
1018,"es--

'i don't know what i have to be a little birler,' she said to herself, 'i don't know what i ca",0,22,1.0,"(7, ['es--', ""'i"", 'i', ""birler,'"", ""'i"", 'i', 'ca'])","(7, ['es--', ""'i"", 'i', ""birler,'"", ""'i"", 'i', 'ca'])","dict_items([(('es--', ""'i""), 1), ((""'i"", ""don't""), 2), ((""don't"", 'know'), 2), (('know', 'what'), 2), (('what', 'i'), 2), (('i', 'have'), 1), (('have', 'to'), 1), (('to', 'be'), 1), (('be', 'a'), 1), (('a', 'little'), 1), (('little', ""birler,'""), 1), ((""birler,'"", 'she'), 1), (('she', 'said'), 1), (('said', 'to'), 1), (('to', 'herself,'), 1), (('herself,', ""'i""), 1), (('i', 'ca'), 1)])"
19,"and was delighted to find that she
began shrinking directly. as soon as she was small enough to get ",1,19,1.0,"(0, [])","(0, [])","dict_items([(('and', 'was'), 1), (('was', 'delighted'), 1), (('delighted', 'to'), 1), (('to', 'find'), 1), (('find', 'that'), 1), (('that', 'she'), 1), (('she', 'began'), 1), (('began', 'shrinking'), 1), (('shrinking', 'directly.'), 1), (('directly.', 'as'), 1), (('as', 'soon'), 1), (('soon', 'as'), 1), (('as', 'she'), 1), (('she', 'was'), 1), (('was', 'small'), 1), (('small', 'enough'), 1), (('enough', 'to'), 1), (('to', 'get'), 1)])"
